generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref,name_ar,aliases,antidote,contraindications,interactions,high_risk
abiraterone acetate,mg,no,Oral: take ONCE DAILY ON AN EMPTY STOMACH – no food for at least 2 hours before and 1 hour after the dose (food greatly increases absorption and toxicity). Swallow tablets whole with water; do not crush. Must be taken WITH a corticosteroid (prednisolone). Women who are/could be pregnant must not handle the tablets without protection.,"Therapeutic class: Androgen-synthesis inhibitor (CYP17 inhibitor) | Indications: Metastatic castration-resistant and metastatic hormone-sensitive prostate cancer, with prednis(ol)one and androgen-deprivation therapy. | Dosage form and strength: Tablet 250 mg. | Adult dosing: 1000 mg (4×250 mg tablets) once daily ON AN EMPTY STOMACH (no food 2 h before, 1 h after), WITH prednis(ol)one 5 mg twice daily (metastatic CRPC) or 5 mg once daily (with ADT in mHSPC), plus continued androgen deprivation. | Pediatric dosing: Not used in children. | Renal/hepatic adjustment: Renal: no specific adjustment. Hepatic: baseline moderate impairment (Child-Pugh B) reduce to 250 mg once daily; severe (C) avoid. Withhold and modify for hepatotoxicity. | Administration: Oral: take ONCE DAILY ON AN EMPTY STOMACH – no food for at least 2 hours before and 1 hour after the dose (food greatly increases absorption and toxicity). Swallow tablets whole with water; do not crush. Must be taken WITH a corticosteroid (prednisolone). Women who are/could be pregnant must not handle the tablets without protection. | Prescriber authority: Oncology/specialist prescribing | Additional notes: Take on an empty stomach; always with a corticosteroid; monitor BP, potassium and LFTs.","Cautions and warnings: Mineralocorticoid excess (hypertension, hypokalaemia, fluid retention – hence corticosteroid co-administration); hepatotoxicity (monitor LFTs); cardiac disease; must be taken fasting. | Adverse drug reactions: Hypertension, hypokalaemia, fluid retention/oedema, hepatotoxicity, hot flushes, fatigue. | Monitoring: Blood pressure, potassium and fluid status; liver function (baseline, then regularly); PSA/response. | Pregnancy category: Not applicable (male; women must not handle) | Lactation: Not applicable | Storage: Store at room temperature.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.327,,,,Pregnancy/women (handling); severe hepatic impairment; hypersensitivity. 328,Strong CYP3A4 inducers reduce levels; inhibits CYP2D6 (raises e.g. some beta-blockers); food markedly increases exposure.,no
acetaminophen (paracetamol),mg,no,IV,"Package size / initial strength: 1 g/100 ml (10 mg/ml) | Diluents: Not applicable | Preparation, administration and stability: Not applicable IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT give as IV push Administer Undiluted: Patients less than 50 kg requiring less than 1000 mg doses: Remove appropriate dose from 100 ml vial and place in separate empty sterile container. 15 minutes Pediatrics Do NOT give as IV push Administer Undiluted: Patients less than 50 kg requiring less than 1000 mg doses: Remove appropriate dose from 100 ml vial and place in separate empty sterile container. 15 minutes Neonates Do NOT give as IV push Administer Undiluted: The administered volume in a neonate should always be 7.5 ml or less. 15 minutes Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Single to use vial; discard any unused portion. Some products must be protected from light (B. Braun PAB container); refer to manufacturer instructions. Do not refrigerate or freeze. - - Single use - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 102",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.100,,,,,,no
acetazolamide,mg,no,IV,"Package size / initial strength: 500 mg | Diluents: D5W, NS Reconstitution | Preparation, administration and stability: D5W, NS Reconstitution Reconstitution Volume 5 ml of SWFI Concentration After Reconstitution 100 mg/ml IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults 100 mg over 1 minute Dilute dose to get a total volume of 100 ml Depends on dose 100 mg/ml 15 to 30 minutes$ Pediatrics 100 mg over 1 minute Standard dilution Dilute 500 mg to get a total volume of 10 ml 50 mg/ml 100 mg/ml 15 to 30 minutes$ For fluid restricted patients Dilute 500 mg to get a total volume of 5 ml 100 mg/ml Neonates No data available Dilute 500 mg to get a total volume of 10 ml$ 50 mg/ml$ 100 mg/ml$ No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator 12 hours 72 hours 72 to 120 hours 72 hours * Final Concentration: For the final product after dilution. $Version 2 update ** Maximum Concentration: For fluid restricted patients. 104",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.102,,,,,,no
acetylcysteine,mg,no,"IV (paracetamol overdose): give as a weight -based 3 -bag regimen – loading dose infused over 1 hour, second dose over 4 hours, third dose over 16 hours; dilute in glucose 5% (or sodium chloride 0.9%). If the commercial IV form is unavailable, the inhalation solution has been infused through an in -line 0.2-micron filter over 60 minutes per dose. Reduce diluent volume in small children and patients <40 kg to avoid fluid overload/hyponatraemia. Anaphylactoid reactions are most common during the first (loading) infusion – slow or stop the infusion and treat, then resume at a slower rate. Inhalation/nebu lised: acetylcysteine is incompatible with tetracyclines, erythromycin, amphotericin B, iodized oil, chymotrypsin, trypsin and hydrogen peroxide – administer separately. The opened solution may turn light purple (does not affect efficacy).","Therapeutic class: Mucolytic / Antidote (paracetamol) 81 | Indications: Paracetamol (acetaminophen) overdose; adjuvant mucolytic therapy in respiratory conditions; diagnostic bronchogram. | Dosage form and strength: Injection (concentrate) 2 g/10 mL (20%). | Adult dosing: Paracetamol overdose: IV 150 mg/kg over 1 h, then 50 mg/kg over 4 h, then 100 mg/kg over 16 h. Mucolytic: per protocol. | Pediatric dosing: Paracetamol overdose: same weight -based IV regimen as adults (150 mg/kg over 1 h, then 50 mg/kg over 4 h, then 100 mg/kg over 16 h). Dilution volume reduced in small children/infants (fluid overload risk). Mucolytic: nebulised per specialist. | Renal/hepatic adjustment: Renal/Hepatic: no dose adjustment; used therapeutically in hepatic injury. | Administration: IV (paracetamol overdose): give as a weight -based 3 -bag regimen – loading dose infused over 1 hour, second dose over 4 hours, third dose over 16 hours; dilute in glucose 5% (or sodium chloride 0.9%). If the commercial IV form is unavailable, the inhalation solution has been infused through an in -line 0.2-micron filter over 60 minutes per dose. Reduce diluent volume in small children and patients <40 kg to avoid fluid overload/hyponatraemia. Anaphylactoid reactions are most common during the first (loading) infusion – slow or stop the infusion and treat, then resume at a slower rate. Inhalation/nebu lised: acetylcysteine is incompatible with tetracyclines, erythromycin, amphotericin B, iodized oil, chymotrypsin, trypsin and hydrogen peroxide – administer separately. The opened solution may turn light purple (does not affect efficacy). | Prescriber authority: Registrars & Consultants may prescribe | Additional notes: Paracetamol overdose: restores hepatic glutathione (hepatoprotective). Mucolytic: free sulfhydryl group breaks mucoprotein disulfide bonds, lowering mucus viscosity. | Package size / initial strength: 200 mg/ml (10 ml) | Diluents: D5W, ½NS, SWFI. | Preparation, administration and stability: D5W, ½NS, SWFI. IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer as IV push For acetaminophen overdose Loading dose: Dilute dose to get a total volume of 250 ml Depends on dose Loading dose: over 1 hour Second dose: Dilute dose to get a total volume of 500 ml 2nd dose: Over 4 hours Third dose: Dilute dose to get a total volume of 1,000 ml 3rd dose: Over 16 hours For the prevention of contrast induced nephropathy Dilute 600 mg to get a total volume of 50 ml Infuse over 30 min Dilute 1200 mg to get a total volume of 100 ml Pediatrics Do NOT administer as IV push Patient weight 5 to 20 kg Loading dose: Dilute dose in 3 ml/kg Depends on dose In patients requiring fluid restriction, decrease diluent volume by 50%. Loading dose: Over 1 hour Second dose: Dilute dose in 7 ml/kg Third dose: Dilute dose in 14 ml/kg Patient weight 21 to 40 kg Loading dose: Dilute dose to get a total volume of 100 ml Second dose: Over 4 hours Second dose: Dilute dose to get a total volume of 250 ml Third dose: Dilute dose to get a total volume of 500 ml Patient weight 41 to 100 kg Loading dose: Dilute dose to get a total volume of 200 ml Third dose: Over 16 hours Second dose: Dilute dose to get a total volume of 500 ml Third dose: Dilute dose to get a total volume of 1,000 ml Neonates No data available Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator A color change may occur in opened vials (light pink or purple) and does not affect the safety or efficacy. Discard unused portion. 24 hours - 24 hours - * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 103","Cautions and warnings: Anaphylactoid reactions during IV infusion (slow/stop infusion); caution in asthma (bronchospasm). | Adverse drug reactions: Non-immune anaphylaxis (rash, flushing, urticaria, respiratory distress, bronchospasm, angioedema, hypotension). | Monitoring: Anaphylactoid reactions during IV infusion; INR/LFTs in paracetamol overdose. | Pregnancy category: Crosses the placenta | Lactation: Not known if present in breast milk | Storage: Store at room temperature; protect from light; use promptly once opened.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.80 | IV Sterile Preparations Manual p.101,,,,Hypersensitivity to acetylcysteine.,May reduce effect of activated charcoal; no major clinically significant interactions for the antidote use.,no
acetylcysteine eye solution,mg,no,,"Final concentration: 100 mg/ml (10%) | Final volume: 15 ml | Preparation, administration and stability: Acetylcysteine 20% ampule 7.5 ml Sodium chloride 0.9% (preservative free) 7.5 ml Procedure: 1. Under a laminar flow hood, aseptically withdraw 7.5 ml of Acetylcysteine and add it to 7.5 ml of sodium chloride. 2. The solution must be drawn into a plastic syringe and filtered through a 0.22 mcg filter. Stability (Beyond Use Date) of the Final Product Handling and Administration Instructions (Axillary Label) Room Temp Refrigerator Freeze - Protect from light. - Keep in Refrigerator - 4 days -",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.232,,,,,,no
acetylsalicylic acid (aspirin),mg,no,Oral with food; chew loading dose in ACS.,Therapeutic class: Antiplatelet / NSAID (salicylate) | Indications: Atherosclerotic cardiovascular disease; secondary prevention; acute coronary syndromes; carotid stenting/endarterectomy; pericarditis; preeclampsia prevention; VTE prophylaxis; anti -inflammatory in rheumatic disease; acute migraine; pain/fever. | Dosage form and strength: Tablet 81 mg and 100 mg (enteric-coated); 500 mg tablet. | Adult dosing: Antiplatelet: 75–100 mg once daily. Loading in ACS: 150–300 mg chewed. | Pediatric dosing: Avoid as analgesic/antipyretic <16 years (Reye's syndrome). Kawasaki disease and antiplatelet use only under specialist supervision. | Renal/hepatic adjustment: Renal: avoid if eGFR <30 (analgesic doses). Hepatic: avoid in severe disease. | Administration: Oral with food; chew loading dose in ACS. | Prescriber authority: All physicians may prescribe | Additional notes: Significant drug interactions – consult interaction database. –,"Cautions and warnings: GI bleeding, bronchospasm in asthma; avoid from 20 weeks gestation. | Adverse drug reactions: Urticaria, GI haemorrhage, pancreatitis, anaphylaxis, angioedema, intracranial haemorrhage, Reye's syndrome, tinnitus/hearing loss, bronchospasm. | Monitoring: Bleeding; GI symptoms; renal function in at-risk patients. | Pregnancy category: Avoid from 20 weeks gestation except low-dose for pregnancy-related indications (FDA 2020). | Lactation: Salicylic acid present in breast milk | Storage: Store at room temperature; keep dry.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.32,,,,Active peptic ulcer/bleeding; haemophilia; severe hepatic/renal impairment; children <16 (Reye's); aspirin-induced asthma. 33,Additive bleeding with anticoagulants/other antiplatelets/NSAIDs; reduces effect of some antihypertensives; raises methotrexate levels.,no
aciclovir 5% cream (savir),mg,no,Topical to the lesion and margin; wash hands before/after; avoid eyes and the interior of the mouth.,"Therapeutic class: Topical antiviral (nucleoside analogue). | Indications: Herpes simplex labialis (cold sores) and early genital herpes lesions. | Dosage form and strength: Cream 5% aciclovir, 15 g. | Adult dosing: Apply 5 times daily (~every 4 h while awake) for 5 days; start at the earliest symptoms (tingling/prodrome). Continue up to 10 days if needed. | Pediatric dosing: Same topical application; suitable for children. | Renal/hepatic adjustment: None for topical use. | Administration: Topical to the lesion and margin; wash hands before/after; avoid eyes and the interior of the mouth. | Prescriber authority: General prescriber / over-the-counter. | Additional notes: Start at the prodrome for best effect. Acne Preparations Adapalene 0.1% Gel (Adolin)","Cautions and warnings: External cutaneous use only; most effective when started early. | Adverse drug reactions: Transient stinging/burning, dryness, erythema, mild itching. | Monitoring: Lesion healing; refer if no improvement. | Pregnancy category: Category B — considered acceptable when needed. | Lactation: Topical use considered compatible. | Storage: Store at room temperature; do not freeze.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.426,,,,Hypersensitivity to aciclovir/valaciclovir.,Minimal topically.,no
acyclovir,mg,no,IV,"Package size / initial strength: 250 mg 500 mg | Diluents: D5W, NS, LR. Reconstitution | Preparation, administration and stability: D5W, NS, LR. Reconstitution Reconstitution Volume 5 ml 10 ml Concentration After Reconstitution 50 mg/ml IV Push IV Infusion Rate of Administration Standard Dilution Final Concentration* Maximum Concentration** Rate of Administration Adults Do NOT administer as IV push Dilute 500 mg to get a total volume of 100 ml 5 mg/ml 7 mg/ml 60 minutes Pediatrics Do NOT administer as IV push Dilute 500 mg to get a total volume of 100 ml 5 mg/ml 7 mg/ml 60 minutes Neonates Do NOT administer as IV push Dilute 50 mg in 9 ml of preservative-free NS 5 mg/ml 7 mg/ml 60 minutes Stability (Beyond Use Date) Handling and Administration Instructions (Axillary Label) Reconstituted vial Diluted/Final Product Room Temp Refrigerator Room Temp Refrigerator Concentrations >10 mg/ml increase the risk of phlebitis. Do not refrigerate reconstituted or diluted solution 12 hours - 24 hours Don’t Refrigerate * Final Concentration: For the final product after dilution. ** Maximum Concentration: For fluid restricted patients. 28",,"JSH Sterile Preparations Manual v2, 2026 — Approved by P&T Committee (Dr. Hafiz Malhan)",JSH 2026,IV Sterile Preparations Manual p.26,,,,,,no
acyclovir (aciclovir),mg,no,Oral: may be administered with or without food. IV: avoid rapid infusion – infuse over 1 hour to prevent renal tubular damage (acyclovir crystalluria); maintain adequate hydration; check for phlebitis and rotate infusion sites. Avoid IM or subcutaneous injection.,"Therapeutic class: Antiviral (nucleoside analogue) | Indications: Treatment of genital and mucocutaneous herpes simplex virus (HSV), herpes labialis, herpes zoster (shingles), HSV encephalitis, neonatal HSV and varicella-zoster (chickenpox); HSV in immunocompromised patients. | Dosage form and strength: Tablet 200 mg and 800 mg; injection 250 mg; cream 5%; eye ointment 3%; suspension 200 mg/5 mL. | Adult dosing: Herpes simplex virus (HSV), genital infection: (Updating..refer to Uptodate) Immunocompetent:IV: Initial episode, severe:Manufacturer’s labeling: 5 mg/kg/dose every 8 hours for 5 to 7 days Oral:Initial episode:Manufacturer’s labeling: 200 mg 5 times daily while awake for 10 days Recurrence: Note: Begin at earliest signs of diseaseManufacturer’s labeling: 200 mg 5 times daily while awake for 5 days Chronic suppression: 400 mg twice daily for up to 12 mont hs (followed by re -evaluation); Note: Safety and efficacy have been documented in patients receiving daily therapy with acyclovir for up to 6 years 25 | Pediatric dosing: HSV encephalitis: IV:Infants and Children 3 months to <12 years:Immunocompetent:Manufacturer's labeling: 20 mg/kg/dose 225 every 8 hours for 10 days. Note: Doses ≥20 mg/kg may be associated with a higher incidence of nephrotoxicity Children ≥12 years and Adolescents: Independent of HIV status:Manufacturer's labeling: 10 mg/kg/dose every 8 hours for 10 days. : (Updating..refer to Uptodate) | Renal/hepatic adjustment: Renal impairment (IV): CrCl 25–50 mL/min – usual dose every 12 h; CrCl 10–25 mL/min – usual dose every 24 h; CrCl <10 mL/min – 50% of the dose every 24 h. Oral doses are similarly extended in severe impairment. | Administration: Oral: may be administered with or without food. IV: avoid rapid infusion – infuse over 1 hour to prevent renal tubular damage (acyclovir crystalluria); maintain adequate hydration; check for phlebitis and rotate infusion sites. Avoid IM or subcutaneous injection. | Prescriber authority: All physicians may prescribe | Additional notes: Maintain hydration and infuse IV slowly to prevent crystalluria/renal injury.","Cautions and warnings: Renal failure (dose -adjust and hydrate); neurotoxicity (confusion, hallucinations) in renal impairment and the elderly; pregnancy and breast-feeding. | Adverse drug reactions: Nausea and vomiting, abdominal pain, headache, fatigue, skin reactions; with IV infusion – severe local irritation/phlebitis, fever, tremor, crystalluria/renal impairment, neurotoxicity. | Monitoring: Renal function and hydration (IV); neurological status in renal impairment. | Pregnancy category: B | Lactation: Enters breast milk – use with caution | Storage: Tablets/suspension at room temperature; reconstituted injection per label; do not refrigerate the reconstituted injection (precipitation).",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.224,,,,Hypersensitivity to acyclovir/valaciclovir.,Additive nephrotoxicity with other nephrotoxins; probenecid raises levels; reduced renal clearance increases neurotoxicity risk.,no
adalimumab,mg,no,Subcutaneous injection; rotate sites; allow to reach room temperature first.,"Therapeutic class: Biologic (Anti-TNF monoclonal antibody) | Indications: Moderate-to-severe Crohn's disease and ulcerative colitis. | Dosage form and strength: Injection 40 mg/0.8 mL prefilled syringe. | Adult dosing: SC: induction 160 mg at week 0, 80 mg at week 2, then 40 mg every other week from week 4. | Pediatric dosing: Children ≥6 years (Crohn's): weight-based induction then maintenance per protocol (e.g. ≥40 kg: 160/80 mg then 40 mg every other week). | Renal/hepatic adjustment: Renal/Hepatic: no specific adjustment. | Administration: Subcutaneous injection; rotate sites; allow to reach room temperature first. | Prescriber authority: Restricted to gastroenterologists | Additional notes: Screen for latent TB and hepatitis B before starting. Subcutaneous self- injection.","Cautions and warnings: Screen for latent TB and hepatitis B; infection, malignancy and demyelination risk. | Adverse drug reactions: Injection-site reactions, increased infection risk (TB reactivation), headache, rash. | Monitoring: TB and hepatitis B screen before start; infection signs. | Pregnancy category: B | Lactation: Limited data / generally compatible | Storage: Refrigerate 2–8°C; do not freeze; protect from light.",Jazan Specialists Hospital Drug Formulary 2026 — Approved by P&T Committee (Dr. Hafiz Malhan),JSH 2026,Drug Formulary p.19,,,,Active serious infection (including TB); moderate-severe heart failure; hypersensitivity.,Avoid live vaccines; avoid combination with anakinra or other biologics.,no
