generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref
acetamionphen,mg,no,IV inf,Initial strength: 10mg/ml. Final concentration (IVP/IVPB): 10mg/ml. Standard preparation: 10mg/ml 50 or 100 mL vials. Maximum concentration: 10mg/ml. Preparation at maximum concentration: 10mg/ml. Premixed stability (RT/Ref): 24 hrs after spiking. Rate of administration: IVPB: 15 min.,Special conditions: Administer dose within 6 hours of opening vial Do not refrigerate or refreeze | Monitoring: Fever reduction Pain relief | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.2
acetazolamide,mg,no,IVP IV inf,Initial strength: 100mg/ ml. Diluents: D5W NS. Reconstitution volume: 5 ml SWFI 4.64 mL dose <500mg. Final concentration (IVP/IVPB): Undiluted / 5mg/ ml. Standard preparation: 250mg/ 50ml D5W 250mg/ 50ml NS. Maximum concentration: 10mg/ml. Preparation at maximum concentration: 500mg/ 50ml D5W premixed 500mg/ 50ml NS premixed. Vial stability (RT/Ref): 24 hrs. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVP: 1 min / IVPB: 15-30 min.,Special conditions: IM administration is not recommended | Monitoring: Intraocul ar pressure Serum electrolyte CBC | Y-site compatibility: no information but likely to be unstable,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.2
acetylcystine,mg,no,IV inf,Initial strength: 200mg / ml. Diluents: D5W. Reconstitution volume: 10 ml. Final concentration (IVP/IVPB): LD: 150 mg/kg in 200 mL D5W Dose 2: 50 mg/kg in 500 mL D5W Dose 3: 100 mg/kg in 1000 mL D5W -To avoid fluid overload in patients <40 Kg and fluid restricted patients 2ed dose50 3ed dose100 LD 150 mg/kg mg/kg over mg/kg over 1hr BW( 4hrs Over 16 hrs KG) Aceta Aceta Aceta D5W D5W D5W -dote -dote -dote (ml) (ml) (ml) (ml) (ml) (ml) 30 22.5 100 7.5 250 15 500 25 18.75 100 6.25 250 12.5 500 20 15 60 5 140 10 280 15 11.25 45 3.75 105 7.5 210 10 7.5 30 2.5 70 5 140. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVPB: Loading Dose 15 min Dose 2 4hrs Dose3 16h rs.,Special conditions: Acolor change may occure in opend vials(light purple)and does not affect the safety or efficacy | Monitoring: Allergic reaction -LFT -KFT Serum level of acetamino phen Serum electolyte | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.2
acyclovir,mg,no,IV inf,Initial strength: 25mg/ml. Diluents: D5W NS. Reconstitution volume: 10 ml SWFI. Final concentration (IVP/IVPB): NA IVP / 5mg/ ml IVPB. Standard preparation: 0- 500 mg/ 100 ml NS 0-500 mg/ 100 ml D5W. Maximum concentration: 7mg/ ml. Preparation at maximum concentration: 600-1750mg/ 250ml D5W 600-1750mg/ 250ml NS. Vial stability (RT/Ref): 12 hrs RT / NA Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 60 min IVPB.,"Special conditions: -Rapid infusion can cause renal damage -Do not use bacteriostatic diluents -Doses less than 500mg diluted it in 100 cc ,doses greater than 500mg diluted in 250 cc | Monitoring: CBC LFT KFT | Y-site compatibility: Amikacin, ampicillin, benzylpenicillin, cefotaxime, cefuroxime,….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.2
albumin,mg,no,IV inf,"Strength (name column): 5% 5g/100ml 20% 20mg/ 100ml 25% 25mg/ 100ml. Initial strength: 5%,20%. Diluents: premix ed. Reconstitution volume: premixed. Final concentration (IVP/IVPB): premixed. Standard preparation: Pre-mixed vials: [12.5 gm] [50 ml vial] [ 25 gm] [100ml ] Admixture: [12.5 gm] [250ml (5%)] [25 gm] [500 ml (5%)]. Maximum concentration: premixed. Preparation at maximum concentration: premixed. Vial stability (RT/Ref): premixe d / Prem ixed. Premixed stability (RT/Ref): 4 hrs after opening the vial. Use inline filter. Rate of administration: IVPB: Albumin 5% 2-4 ml/mint in pt with normal plasma volume, 5- 10 ml/mint in pt with hypoprotei nemia Albumin 20% 1- 2ml/mint.","Special conditions: Do not dilute 5% solution. Rapid infusion can cause vascular overload. albumin 25% can be given undiluted or diluted in normal saline or D5W infusion of large amounts of albumin diluted with D5W can result in hyponatremia; therefore, when using large volumes of albumin, dilution in NS is preferred CAUTION: Substantial reduction in tonicity, creating the potential for fatal hemolysis and acute renal failure, may result from the use of sterile water as a diluents | Monitoring: vital sign pulmonar y oedema hypervole mia Resp function BP Hemato crit | Y-site compatibility: Compatibility: Diltiazem HCL, Lorazepam","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.3
alfacalcidol (one –alpha),mg,no,IV bolus,Strength (name column): 1mcg/0.5ml 2mcg/ml. Initial strength: 1mcg/0.5m l 2mcg/ml. Final concentration (IVP/IVPB): undiluted IVP / NA IVPB. Standard preparation: 1mcg/day to be added to the return line from the HD machine at the end of HD. Maximum concentration: 1mcg/day to be added to the return line from the HD machine at the end of HD. Preparation at maximum concentration: 1mcg/day to be added to the return line from the HD machine at the end of HD. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): NA RT / Origi nal back ae Ref. Rate of administration: IVP: 30 sec IVP / IVPB: NA IVPB.,Special conditions: - protect from light - shake injection solution well prior to use | Monitoring: Electrolyt e level -KFTS -LFTs | Y-site compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.3
alprostadil prostaglandin,mg,no,IV inf,Strength (name column): E1. Initial strength: 0.5mg/ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 2-10 mcg/ml. Standard preparation: 500mcg/ 250ml NS 500mcg/ 250ml D5W 500mcg/ 100ml NS 500mcg/ 100ml D5W 500mcg/ 50ml NS premixed 500mcg/ 50ml D5W. Maximum concentration: 20mcg/ml. Preparation at maximum concentration: 500mcg/ 25ml NA 500mcg/25ml D5W. Premixed stability (RT/Ref): 24 hrs / Origi nal back ae. Rate of administration: IVPB: 0.01- 0.1mcg/ kg/ mint.,"Special conditions: Undiluted alprostadil may interact with plastic volumetric infusion chambers changing their appearance so, the infusion solution should be added to the volumetric chamber first with the alprostadil added into the solution avoiding contact with the chamber walls. | Monitoring: Arterial pressure respirator y rate HR Temperat ure Degree of penile pain -length of erection -signs of infection | Y-site compatibility: Compatibility: Ampicillin Sodium, Cefazolin Sodium, Dobutamine HCL, Fentanyl Citrate….etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.4
amikacin,mg,no,IV inf,Initial strength: 50mg/ ml 250mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 5mg/ml. Standard preparation: 500mg/ 100ml NS premixed 500mg/100ml D5W premixed. Maximum concentration: 5mg/ ml. Preparation at maximum concentration: 500mg/ 100ml NS premixed 500mg/100ml D5W premixed. Premixed stability (RT/Ref): 24 hrs / 48 hrs. Rate of administration: IVPB: 30–60 minutes.,"Special conditions: If used in combination with a penicillin or cephalosporin, administer at a different site. If this is not possible then flush the line thoroughly with a compatible solution between drugs. | Monitoring: RFT Level befor 4th dose and 30-60 min after Auditory test if possible | Y-site compatibility: Aciclovir, adrenaline, calcium gluconate, chloramphenicol sodium succinate, ciprofloxacine…","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.4
aminocaproic acid,mg,no,IV inf,Initial strength: 250mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 20mg/ ml. Standard preparation: (1gm/50ml premixed) 2gm/100ml 3gm/150ml (4-5gm/ 250ml) (6-10gm /500ml) (11-20gm /1000 ml). Maximum concentration: 20mg/ ml. Preparation at maximum concentration: 10gm/500ml. Premixed stability (RT/Ref): 7 days / 7 days. Rate of administration: IVPB: 4-5 gm over 60 mint then 1gm/hr for 8 hrs.,Special conditions: It contain benzyl alcohol if given with athor drug contain bezyl alcohol Couse gasping syndrome symptom respiratory depression Metabolic acidosis IM not recommended | Monitoring: KFT Coagulati on profile | Y-site compatibility: Compatibility: Fenoldopam mesylate,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.4
aminophylline,mg,no,IV inf,Initial strength: 25mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): NA IVP / 1mg/ ml as loading dose then followed by maintenance dose (max cont 25 mg/ml) IVPB. Standard preparation: 500mg/ 500ml D5W 500mg/ 500ml NS (loading dose) [0 - 250mg]/50ml (30 minutes) or [251-500 mg]/ 100 ml-(30 minutes) Continuous infusion: 500 mg/500 ml [Titrate] Fluid Restricted: 500 mg/250 ml [Titrate]. Maximum concentration: 25mg/ ml. Preparation at maximum concentration: 25mg/ ml. Vial stability (RT/Ref): NA RT / 24 hrs Ref. Premixed stability (RT/Ref): 24 hrs RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: Loading dose: 30 mint Maintenanc e dose: 0.36 mg/kg/mint Not greater than : 25mg/ mint IVPB.,"Special conditions: Equivalent to 80% Theophylline Protect from light Do not administer as IM | Monitoring: HR Respirato ry rate CNS effects Serum theophylli n | Y-site compatibility: Compatibility: Amphotericin B, amikacin, aztreonam, ceftazidime , esmolol","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.4
